reg_type,gd_type,init_type,momentum,lr,cv_mse,cv_r2
normal,batch,zeros,False,0.01,0.21554257674965466,0.6863741855757544
normal,batch,zeros,False,0.001,0.7220257787269999,-0.05067132620537009
normal,batch,zeros,False,0.0001,43.95544733698398,-63.06322523204285
normal,batch,xavier,False,0.01,0.2133489646986549,0.6894921052815578
normal,batch,xavier,False,0.001,0.7194165315375038,-0.045726824770762176
normal,batch,xavier,False,0.0001,43.922183447586015,-62.98338198358724
normal,mini,zeros,False,0.01,0.21593301851198138,0.685862690377194
normal,mini,zeros,False,0.001,0.7209300377085954,-0.0491838890181755
normal,mini,zeros,False,0.0001,43.9617376608575,-63.07193029533922
normal,mini,xavier,False,0.01,0.21472641710012041,0.6876044375255689
normal,mini,xavier,False,0.001,0.7330508031782829,-0.06678694030181091
normal,mini,xavier,False,0.0001,43.87131912639298,-62.96091035363751
normal,stochastic,zeros,False,0.01,0.21957742733684463,0.6805090649874078
normal,stochastic,zeros,False,0.001,0.7185409460344541,-0.045262770244954356
normal,stochastic,zeros,False,0.0001,43.98180578026693,-63.09846244543095
normal,stochastic,xavier,False,0.01,0.2210066102082638,0.6785100062220638
normal,stochastic,xavier,False,0.001,0.7256086859103351,-0.05565209199743067
normal,stochastic,xavier,False,0.0001,43.99299318928634,-63.10507814057679
normal,batch,zeros,True,0.01,0.14303298028765327,0.7915879333585607
normal,batch,zeros,True,0.001,0.21556777717513773,0.6863375966401037
normal,batch,zeros,True,0.0001,0.7221727930117032,-0.050885369295213236
normal,batch,xavier,True,0.01,0.1432243263384248,0.7913050025497018
normal,batch,xavier,True,0.001,0.21428012106089592,0.6881616758560816
normal,batch,xavier,True,0.0001,0.7114382147512341,-0.035819589181264225
normal,mini,zeros,True,0.01,0.14391719751340828,0.7902813494745631
normal,mini,zeros,True,0.001,0.21600517321438714,0.6856935553440895
normal,mini,zeros,True,0.0001,0.7232720724501347,-0.05255442771392253
normal,mini,xavier,True,0.01,0.14943637582909924,0.7825176818881354
normal,mini,xavier,True,0.001,0.21539609197160975,0.686506255540033
normal,mini,xavier,True,0.0001,0.7283172449188318,-0.05956708341572518
normal,stochastic,zeros,True,0.01,0.1874606692457615,0.7275262619865757
normal,stochastic,zeros,True,0.001,0.22135012497629694,0.678042056467403
normal,stochastic,zeros,True,0.0001,0.7120580009351469,-0.03591469451860596
normal,stochastic,xavier,True,0.01,1569.0945589887403,-2141.3708988697963
normal,stochastic,xavier,True,0.001,0.23020884560529917,0.6652593500497546
normal,stochastic,xavier,True,0.0001,0.7120681616235457,-0.035908247170751785
lasso,batch,zeros,False,0.01,0.21554543613096602,0.6863699875262902
lasso,batch,zeros,False,0.001,0.7220275830071673,-0.050673988944401935
lasso,batch,zeros,False,0.0001,43.95557331774613,-63.06340875587582
lasso,batch,xavier,False,0.01,0.2151305616847668,0.6869599665318825
lasso,batch,xavier,False,0.001,0.7111111499556125,-0.034666113927064465
lasso,batch,xavier,False,0.0001,44.172416082056884,-63.39388260364886
lasso,mini,zeros,False,0.01,0.21713785852730516,0.6840390932310604
lasso,mini,zeros,False,0.001,0.7218824477894659,-0.050581721439269464
lasso,mini,zeros,False,0.0001,43.96541605562537,-63.07687873525483
lasso,mini,xavier,False,0.01,0.21596892913433452,0.6857034377584691
lasso,mini,xavier,False,0.001,0.7329383104960694,-0.06603548021307526
lasso,mini,xavier,False,0.0001,43.917057460775865,-63.01371812278781
lasso,stochastic,zeros,False,0.01,0.32873814253904754,0.5212057011502963
lasso,stochastic,zeros,False,0.001,0.6616873788952544,0.03619195543232519
lasso,stochastic,zeros,False,0.0001,44.511350677758266,-63.86966938048359
lasso,stochastic,xavier,False,0.01,0.34358214359381245,0.49925378964629735
lasso,stochastic,xavier,False,0.001,0.6456343873260734,0.06039305479423525
lasso,stochastic,xavier,False,0.0001,44.1529225828245,-63.36369114917102
lasso,batch,zeros,True,0.01,0.14303901973151995,0.7915789714437825
lasso,batch,zeros,True,0.001,0.2155706380427084,0.6863333964075207
lasso,batch,zeros,True,0.0001,0.7221745414618997,-0.050887951048893806
lasso,batch,xavier,True,0.01,0.14290059174000058,0.7917762194893075
lasso,batch,xavier,True,0.001,0.21456324170694266,0.6878493535213381
lasso,batch,xavier,True,0.0001,0.7342000942884701,-0.0682862182685601
lasso,mini,zeros,True,0.01,0.1626394891830197,0.7631586085409232
lasso,mini,zeros,True,0.001,0.2170421116829429,0.6841933109817746
lasso,mini,zeros,True,0.0001,0.7249010780874483,-0.0549179580680907
lasso,mini,xavier,True,0.01,0.161569582976893,0.7646735642780754
lasso,mini,xavier,True,0.001,0.21611116277065573,0.6855839446192823
lasso,mini,xavier,True,0.0001,0.7220732361305953,-0.05058864055775998
lasso,stochastic,zeros,True,0.01,0.39359662017508346,0.4277677620048655
lasso,stochastic,zeros,True,0.001,0.3270043744370269,0.5241458902342808
lasso,stochastic,zeros,True,0.0001,0.6608596507996715,0.03812169545146733
lasso,stochastic,xavier,True,0.01,0.4155451066228067,0.3963056658783294
lasso,stochastic,xavier,True,0.001,0.32825562626922367,0.5217575754610139
lasso,stochastic,xavier,True,0.0001,0.6563005411235165,0.04531758145062994
ridge,batch,zeros,False,0.01,0.2155266721315497,0.6863972108578695
ridge,batch,zeros,False,0.001,0.7219604420125274,-0.05057624295216736
