reg_type,gd_type,init_type,momentum,lr,cv_mse,cv_r2
ridge,stochastic,xavier,False,0.0001,44.054734081244405,-63.21895795873938
ridge,batch,zeros,True,0.01,0.14302968062862886,0.7915926684441403
ridge,batch,zeros,True,0.001,0.2155517084891529,0.6863608600937589
ridge,batch,zeros,True,0.0001,0.7221073662027051,-0.05079015467826853
ridge,batch,xavier,True,0.01,0.14319050626995766,0.7913592525741467
ridge,batch,xavier,True,0.001,0.21882816521886644,0.6815595175188286
ridge,batch,xavier,True,0.0001,0.7397014788347853,-0.07618672857692803
ridge,mini,zeros,True,0.01,0.1525082347419004,0.777868185967681
ridge,mini,zeros,True,0.001,0.2145577489653924,0.6878504529940195
ridge,mini,zeros,True,0.0001,0.7121320744580977,-0.036181102228858106
ridge,mini,xavier,True,0.01,0.1529159657065659,0.7771692186179803
ridge,mini,xavier,True,0.001,0.21479394899977317,0.6874376878832582
ridge,mini,xavier,True,0.0001,0.7215723373991343,-0.049806723639324216
ridge,stochastic,zeros,True,0.01,57.6868237145557,-77.79436232620277
ridge,stochastic,zeros,True,0.001,0.2531095493922145,0.6317283911973506
ridge,stochastic,zeros,True,0.0001,0.5116802136284456,0.2554042297443974
ridge,stochastic,xavier,True,0.01,0.32520481835568493,0.5272640114475748
ridge,stochastic,xavier,True,0.001,0.2522939994455807,0.6327868261182145
ridge,stochastic,xavier,True,0.0001,0.516907995067382,0.24767942290748418
polynomial,batch,zeros,False,0.01,0.21155640102529719,0.6921618072966876
polynomial,batch,zeros,False,0.001,0.7431955938392427,-0.08142310781883792
polynomial,batch,zeros,False,0.0001,43.839302392908934,-62.895971290229014
polynomial,batch,xavier,False,0.01,0.2119172582431695,0.6915694238659242
polynomial,batch,xavier,False,0.001,0.7595793289459539,-0.10532684955421864
polynomial,batch,xavier,False,0.0001,44.056077475978384,-63.203110952435125
polynomial,mini,zeros,False,0.01,7.329592351026375,-9.026428076321615
polynomial,mini,zeros,False,0.001,0.7448547500273704,-0.08371781729106371
polynomial,mini,zeros,False,0.0001,43.84705988899295,-62.90780589237734
polynomial,mini,xavier,False,0.01,0.21328918368214028,0.6896238276222297
polynomial,mini,xavier,False,0.001,0.7574501609446745,-0.10191632085240702
polynomial,mini,xavier,False,0.0001,43.70171230453112,-62.7191040599739
polynomial,stochastic,zeros,False,0.01,97781.97152835758,-148663.87192499955
polynomial,stochastic,zeros,False,0.001,9.244546310910057,-11.688757257357302
polynomial,stochastic,zeros,False,0.0001,43.88187595224385,-62.955243106323096
polynomial,stochastic,xavier,False,0.01,860.2096976032057,-1305.5099090235112
polynomial,stochastic,xavier,False,0.001,12.384455563624588,-17.78016074104147
polynomial,stochastic,xavier,False,0.0001,44.12482309235607,-63.30852718995188
polynomial,batch,zeros,True,0.01,0.14143075275461375,0.7938371867781093
polynomial,batch,zeros,True,0.001,0.21158139552452507,0.6921255014878083
polynomial,batch,zeros,True,0.0001,0.7433792154173421,-0.08169057524621523
polynomial,batch,xavier,True,0.01,0.14137275110601297,0.793919031977208
polynomial,batch,xavier,True,0.001,0.2120139491354358,0.6914505386998326
polynomial,batch,xavier,True,0.0001,0.7375720375066859,-0.0728859781315486
polynomial,mini,zeros,True,0.01,3.360080628393123e+88,-4.985145255186144e+88
polynomial,mini,zeros,True,0.001,0.2136115305424311,0.6892093920021701
polynomial,mini,zeros,True,0.0001,0.7437172700026824,-0.08206740709026787
polynomial,mini,xavier,True,0.01,6.236547771932542e+117,-8.959613187416003e+117
polynomial,mini,xavier,True,0.001,0.21297539428672646,0.6898785623652228
polynomial,mini,xavier,True,0.0001,0.7456676827567373,-0.08540292637073557
polynomial,stochastic,zeros,True,0.01,2.8589486887563566e+25,-4.1072521880773105e+25
polynomial,stochastic,zeros,True,0.001,27347.97891835692,-40570.99904265522
polynomial,stochastic,zeros,True,0.0001,0.8295162919155142,-0.20365068776458872
polynomial,stochastic,xavier,True,0.01,5.756333036635828e+19,-8.540621819288573e+19
polynomial,stochastic,xavier,True,0.001,5.907792550865244,-7.098010648414639
polynomial,stochastic,xavier,True,0.0001,0.7618548213145473,-0.10880058787622957
